,coef,b,y,Schizotipy
PDI,-0.0602,-0.20199999999999999,RT µ,PDI
PDI,-0.0602,0.08199999999999999,RT µ,PDI
PDI,-0.0564,-0.19899999999999998,HC RT µ,PDI
PDI,-0.0564,0.086,HC RT µ,PDI
PDI,-0.0601,-0.20199999999999999,LC RT µ,PDI
PDI,-0.0601,0.08199999999999999,LC RT µ,PDI
PDI,0.1241,-0.017,Accuracy µ,PDI
PDI,0.1241,0.266,Accuracy µ,PDI
PDI,0.0997,-0.042,HC Accuracy µ,PDI
PDI,0.0997,0.242,HC Accuracy µ,PDI
PDI,0.119,-0.023,LC Accuracy µ,PDI
PDI,0.119,0.261,LC Accuracy µ,PDI
PDI,0.071,-0.071,DTD,PDI
PDI,0.071,0.213,DTD,PDI
PDI,-0.018,-0.161,Conf-0,PDI
PDI,-0.018,0.125,Conf-0,PDI
PDI,-0.0317,-0.174,Conf-1,PDI
PDI,-0.0317,0.111,Conf-1,PDI
PDI,0.1122,-0.028999999999999998,Conf-N,PDI
PDI,0.1122,0.254,Conf-N,PDI
PDI,0.0809,-0.061,ADJ,PDI
PDI,0.0809,0.223,ADJ,PDI
CAPS,-0.0169,-0.159,RT µ,CAPS
CAPS,-0.0169,0.126,RT µ,CAPS
CAPS,-0.0124,-0.155,HC RT µ,CAPS
CAPS,-0.0124,0.13,HC RT µ,CAPS
CAPS,-0.018,-0.161,LC RT µ,CAPS
CAPS,-0.018,0.125,LC RT µ,CAPS
CAPS,0.0139,-0.129,Accuracy µ,CAPS
CAPS,0.0139,0.156,Accuracy µ,CAPS
CAPS,-0.0369,-0.179,HC Accuracy µ,CAPS
CAPS,-0.0369,0.106,HC Accuracy µ,CAPS
CAPS,0.0547,-0.08800000000000001,LC Accuracy µ,CAPS
CAPS,0.0547,0.19699999999999998,LC Accuracy µ,CAPS
CAPS,0.0247,-0.11800000000000001,DTD,CAPS
CAPS,0.0247,0.16699999999999998,DTD,CAPS
CAPS,-0.0088,-0.151,Conf-0,CAPS
CAPS,-0.0088,0.134,Conf-0,CAPS
CAPS,-0.0187,-0.161,Conf-1,CAPS
CAPS,-0.0187,0.124,Conf-1,CAPS
CAPS,0.16,0.019,Conf-N,CAPS
CAPS,0.16,0.301,Conf-N,CAPS
CAPS,0.0002,-0.142,ADJ,CAPS
CAPS,0.0002,0.14300000000000002,ADJ,CAPS
ASI,0.0406,-0.102,RT µ,ASI
ASI,0.0406,0.183,RT µ,ASI
ASI,0.0386,-0.10400000000000001,HC RT µ,ASI
ASI,0.0386,0.18100000000000002,HC RT µ,ASI
ASI,0.0432,-0.099,LC RT µ,ASI
ASI,0.0432,0.18600000000000003,LC RT µ,ASI
ASI,-0.0551,-0.19699999999999998,Accuracy µ,ASI
ASI,-0.0551,0.087,Accuracy µ,ASI
ASI,-0.0934,-0.235,HC Accuracy µ,ASI
ASI,-0.0934,0.048,HC Accuracy µ,ASI
ASI,0.0009,-0.142,LC Accuracy µ,ASI
ASI,0.0009,0.14300000000000002,LC Accuracy µ,ASI
ASI,0.0537,-0.08900000000000001,DTD,ASI
ASI,0.0537,0.196,DTD,ASI
ASI,0.0688,-0.073,Conf-0,ASI
ASI,0.0688,0.21100000000000002,Conf-0,ASI
ASI,0.0195,-0.12300000000000001,Conf-1,ASI
ASI,0.0195,0.162,Conf-1,ASI
ASI,0.2071,0.068,Conf-N,ASI
ASI,0.2071,0.34700000000000003,Conf-N,ASI
ASI,0.0304,-0.11199999999999999,ADJ,ASI
ASI,0.0304,0.17300000000000001,ADJ,ASI
